0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-1.0,0.0,22.25,1.25,1.0,1.0,1.0,3.25,0.0,0.0,0.0,0.0,2.0,280.0,1.0
-1.0,0.0,22.5,0.415,2.0,3.0,4.0,0.335,0.0,0.0,0.0,1.0,1.0,144.0,1.0
-1.0,0.0,22.5,8.5,2.0,11.0,4.0,1.75,1.0,1.0,10.0,0.0,2.0,80.0,991.0
-1.0,0.0,22.5,11.0,1.0,11.0,4.0,3.0,1.0,0.0,0.0,1.0,2.0,268.0,1.0
-1.0,0.0,22.67,0.335,2.0,11.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,160.0,1.0
-1.0,0.0,22.67,0.75,2.0,8.0,4.0,2.0,0.0,1.0,2.0,1.0,2.0,200.0,395.0
-1.0,0.0,22.67,0.79,2.0,3.0,4.0,0.085,0.0,0.0,0.0,0.0,2.0,144.0,1.0
-1.0,0.0,22.67,7.0,2.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,160.0,1.0
-1.0,0.0,22.75,6.165,2.0,6.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,220.0,1001.0
-1.0,0.0,22.92,1.25,2.0,11.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,120.0,810.0
-1.0,0.0,23.0,1.835,2.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,200.0,54.0
-1.0,0.0,23.5,1.5,2.0,9.0,4.0,0.875,0.0,0.0,0.0,1.0,2.0,160.0,1.0
-1.0,0.0,23.58,0.585,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,2.0,120.0,88.0
-1.0,0.0,23.58,0.83,2.0,11.0,4.0,0.415,0.0,1.0,1.0,1.0,2.0,200.0,12.0
-1.0,0.0,23.58,11.5,1.0,4.0,8.0,3.0,0.0,0.0,0.0,1.0,2.0,20.0,17.0
-1.0,0.0,23.75,0.71,2.0,9.0,4.0,0.25,0.0,1.0,1.0,1.0,2.0,240.0,5.0
-1.0,0.0,24.33,2.5,1.0,3.0,5.0,4.5,0.0,0.0,0.0,0.0,2.0,200.0,457.0
-1.0,0.0,24.5,1.04,1.0,1.0,1.0,0.5,1.0,1.0,3.0,0.0,2.0,180.0,148.0
-1.0,0.0,24.5,1.75,1.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,132.0,1.0
-1.0,0.0,24.5,2.415,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0
-1.0,0.0,24.58,0.67,2.0,6.0,8.0,1.75,1.0,0.0,0.0,0.0,2.0,400.0,1.0
-1.0,0.0,24.75,13.665,2.0,11.0,8.0,1.5,0.0,0.0,0.0,0.0,2.0,280.0,2.0
-1.0,0.0,24.83,4.5,2.0,9.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,360.0,7.0
-1.0,0.0,24.92,1.25,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,80.0,1.0
-1.0,0.0,25.0,11.0,1.0,6.0,4.0,4.5,1.0,0.0,0.0,0.0,2.0,120.0,1.0
-1.0,0.0,25.25,12.5,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,180.0,1063.0
-1.0,0.0,25.25,13.5,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,200.0,2.0
-1.0,0.0,25.33,2.085,2.0,8.0,8.0,2.75,1.0,0.0,0.0,1.0,2.0,360.0,2.0
-1.0,0.0,25.42,1.125,2.0,11.0,4.0,1.29,1.0,1.0,2.0,0.0,2.0,200.0,1.0
-1.0,0.0,26.17,2.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,276.0,2.0
-1.0,0.0,26.5,2.71,1.0,8.0,4.0,0.085,0.0,0.0,0.0,0.0,1.0,80.0,1.0
-1.0,0.0,26.58,2.54,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,180.0,61.0
-1.0,0.0,27.17,1.25,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,92.0,301.0
-1.0,0.0,27.25,0.29,2.0,7.0,8.0,0.125,0.0,1.0,1.0,1.0,2.0,272.0,109.0
-1.0,0.0,27.33,1.665,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,340.0,2.0
-1.0,0.0,27.58,3.0,2.0,7.0,4.0,2.79,0.0,1.0,1.0,1.0,2.0,280.0,11.0
-1.0,0.0,27.67,1.5,2.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,368.0,1.0
-1.0,0.0,27.67,2.04,2.0,9.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,180.0,51.0
-1.0,0.0,28.17,0.585,2.0,6.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,260.0,1005.0
-1.0,0.0,28.5,1.0,2.0,11.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,167.0,501.0
-1.0,0.0,28.58,1.665,2.0,11.0,4.0,2.415,1.0,0.0,0.0,1.0,2.0,440.0,1.0
-1.0,0.0,28.58,3.54,2.0,3.0,5.0,0.5,1.0,0.0,0.0,1.0,2.0,171.0,1.0
-1.0,0.0,28.58,3.75,2.0,8.0,4.0,0.25,0.0,1.0,1.0,1.0,2.0,40.0,155.0
-1.0,0.0,29.5,1.085,1.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,280.0,14.0
-1.0,0.0,29.5,2.0,1.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,256.0,18.0
-1.0,0.0,29.58,1.75,1.0,4.0,4.0,1.25,0.0,0.0,0.0,1.0,2.0,280.0,1.0
-1.0,0.0,29.75,0.665,2.0,9.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,300.0,1.0
-1.0,0.0,30.25,5.5,2.0,4.0,4.0,5.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0
-1.0,0.0,30.42,1.375,2.0,9.0,8.0,0.04,0.0,1.0,3.0,0.0,2.0,0.0,34.0
-1.0,0.0,30.58,10.665,2.0,11.0,8.0,0.085,0.0,1.0,12.0,1.0,2.0,129.0,4.0
-1.0,0.0,31.57,1.5,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,200.0,106.0
-1.0,0.0,31.57,3.5,2.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,2.0,300.0,1.0
-1.0,0.0,31.57,11.25,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,184.0,5201.0
-1.0,0.0,31.75,3.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0,21.0
-1.0,0.0,31.92,3.125,2.0,1.0,1.0,3.04,0.0,1.0,2.0,1.0,2.0,200.0,5.0
-1.0,0.0,32.0,6.0,2.0,2.0,4.0,1.25,0.0,0.0,0.0,0.0,2.0,272.0,1.0
-1.0,0.0,32.25,1.5,2.0,8.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,372.0,123.0
-1.0,0.0,33.08,1.625,2.0,2.0,4.0,0.54,0.0,0.0,0.0,1.0,2.0,0.0,1.0
-1.0,0.0,33.17,2.25,1.0,13.0,4.0,3.5,0.0,0.0,0.0,1.0,2.0,200.0,142.0
-1.0,0.0,33.25,2.5,1.0,8.0,4.0,2.5,0.0,0.0,0.0,1.0,2.0,0.0,3.0
-1.0,0.0,33.25,3.0,1.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,180.0,1.0
-1.0,0.0,33.75,0.75,2.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,212.0,1.0
-1.0,0.0,33.92,1.585,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,320.0,1.0
-1.0,0.0,34.83,1.25,1.0,3.0,8.0,0.5,0.0,0.0,0.0,1.0,2.0,160.0,1.0
-1.0,0.0,35.17,3.75,2.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,201.0
-1.0,0.0,36.58,0.29,2.0,1.0,1.0,0.0,0.0,1.0,10.0,0.0,2.0,200.0,19.0
-1.0,0.0,36.75,4.71,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0,1.0
-1.0,0.0,37.33,2.5,2.0,3.0,8.0,0.21,0.0,0.0,0.0,0.0,2.0,260.0,247.0
-1.0,0.0,38.33,4.415,2.0,8.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,160.0,1.0
-1.0,0.0,38.58,5.0,2.0,13.0,4.0,13.5,1.0,0.0,0.0,1.0,2.0,980.0,1.0
-1.0,0.0,38.75,1.5,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,1.0
-1.0,0.0,38.92,1.665,2.0,6.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,391.0
-1.0,0.0,39.08,4.0,2.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,480.0,1.0
-1.0,0.0,40.33,8.125,1.0,4.0,4.0,0.165,0.0,1.0,2.0,0.0,2.0,184.0,19.0
-1.0,0.0,40.83,3.5,2.0,3.0,5.0,0.5,0.0,0.0,0.0,0.0,1.0,1160.0,1.0
-1.0,0.0,41.58,1.04,2.0,6.0,4.0,0.665,0.0,0.0,0.0,0.0,2.0,240.0,238.0
-1.0,0.0,42.25,1.75,1.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,150.0,2.0
-1.0,0.0,45.0,4.585,2.0,4.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,240.0,1.0
-1.0,0.0,45.33,1.0,2.0,11.0,4.0,0.125,0.0,0.0,0.0,1.0,2.0,263.0,1.0
-1.0,0.0,48.17,1.335,2.0,3.0,7.0,0.335,0.0,0.0,0.0,0.0,2.0,0.0,121.0
-1.0,0.0,49.0,1.5,2.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,100.0,28.0
-1.0,0.0,50.25,0.835,2.0,6.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,240.0,118.0
-1.0,0.0,51.92,6.5,2.0,3.0,5.0,3.085,0.0,0.0,0.0,1.0,2.0,73.0,1.0
-1.0,0.0,52.17,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
-1.0,0.0,52.5,7.0,2.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
-1.0,0.0,53.33,0.165,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,62.0,28.0
-1.0,0.0,55.75,7.08,2.0,4.0,8.0,6.75,1.0,1.0,3.0,1.0,2.0,100.0,51.0
-1.0,0.0,56.83,4.25,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0
-1.0,0.0,57.08,0.335,2.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,252.0,2198.0
-1.0,0.0,57.58,2.0,2.0,1.0,1.0,6.5,0.0,1.0,1.0,0.0,2.0,0.0,11.0
-1.0,0.0,69.5,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-1.0,1.0,15.17,7.0,2.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,600.0,1.0
-1.0,1.0,16.0,3.125,2.0,9.0,4.0,0.085,0.0,1.0,1.0,0.0,2.0,0.0,7.0
-1.0,1.0,16.25,0.0,1.0,6.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,60.0,1.0
-1.0,1.0,16.25,0.835,2.0,7.0,4.0,0.085,1.0,0.0,0.0,0.0,1.0,200.0,1.0
-1.0,1.0,16.33,2.75,2.0,6.0,4.0,0.665,0.0,1.0,1.0,0.0,2.0,80.0,22.0
-1.0,1.0,16.33,4.085,2.0,3.0,8.0,0.415,0.0,0.0,0.0,1.0,2.0,120.0,1.0
-1.0,1.0,16.5,0.125,2.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,132.0,1.0
-1.0,1.0,16.92,0.335,1.0,4.0,4.0,0.29,0.0,0.0,0.0,0.0,1.0,200.0,1.0
-1.0,1.0,17.08,0.085,1.0,8.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,140.0,723.0
-1.0,1.0,17.08,0.25,2.0,11.0,4.0,0.335,0.0,1.0,4.0,0.0,2.0,160.0,9.0
-1.0,1.0,17.08,3.29,2.0,3.0,4.0,0.335,0.0,0.0,0.0,1.0,2.0,140.0,3.0
-1.0,1.0,17.25,3.0,2.0,4.0,4.0,0.04,0.0,0.0,0.0,1.0,2.0,160.0,41.0
-1.0,1.0,17.42,6.5,2.0,3.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,60.0,101.0
-1.0,1.0,17.58,10.0,2.0,9.0,8.0,0.165,0.0,1.0,1.0,0.0,2.0,120.0,2.0
-1.0,1.0,17.67,4.46,2.0,8.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,80.0,1.0
-1.0,1.0,17.92,0.205,2.0,6.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,280.0,751.0
-1.0,1.0,18.08,6.75,1.0,7.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,140.0,1.0
-1.0,1.0,18.17,2.46,2.0,8.0,7.0,0.96,0.0,1.0,2.0,1.0,2.0,160.0,588.0
-1.0,1.0,18.17,10.25,2.0,8.0,8.0,1.085,0.0,0.0,0.0,0.0,2.0,320.0,14.0
-1.0,1.0,18.25,0.165,2.0,2.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,280.0,1.0
-1.0,1.0,18.33,1.21,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,1.0
-1.0,1.0,18.42,10.415,1.0,6.0,4.0,0.125,1.0,0.0,0.0,0.0,2.0,120.0,376.0
-1.0,1.0,18.58,5.71,2.0,2.0,4.0,0.54,0.0,0.0,0.0,0.0,2.0,120.0,1.0
-1.0,1.0,18.58,10.29,2.0,1.0,1.0,0.415,0.0,0.0,0.0,0.0,2.0,80.0,1.0
-1.0,1.0,18.67,5.0,2.0,11.0,4.0,0.375,1.0,1.0,2.0,0.0,2.0,0.0,39.0
-1.0,1.0,18.83,0.0,2.0,11.0,4.0,0.665,0.0,0.0,0.0,0.0,2.0,160.0,2.0
-1.0,1.0,18.83,0.415,1.0,8.0,4.0,0.165,0.0,1.0,1.0,0.0,2.0,200.0,2.0
-1.0,1.0,18.83,3.54,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,180.0,2.0
-1.0,1.0,19.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,45.0,2.0
-1.0,1.0,19.0,1.75,1.0,8.0,4.0,2.335,0.0,0.0,0.0,1.0,2.0,112.0,7.0
-1.0,1.0,19.17,4.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,360.0,1001.0
-1.0,1.0,19.33,10.915,2.0,8.0,5.0,0.585,0.0,1.0,2.0,1.0,2.0,200.0,8.0
-1.0,1.0,19.42,1.5,1.0,13.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,100.0,21.0
-1.0,1.0,19.42,7.25,2.0,7.0,4.0,0.04,0.0,1.0,1.0,0.0,2.0,100.0,2.0
-1.0,1.0,19.5,0.29,2.0,4.0,4.0,0.29,0.0,0.0,0.0,0.0,2.0,280.0,365.0
-1.0,1.0,19.5,9.585,2.0,6.0,4.0,0.79,0.0,0.0,0.0,0.0,2.0,80.0,351.0
-1.0,1.0,19.58,0.585,2.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,350.0,770.0
-1.0,1.0,19.67,10.0,1.0,4.0,8.0,0.835,1.0,0.0,0.0,1.0,2.0,140.0,1.0
-1.0,1.0,20.0,0.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,144.0,1.0
-1.0,1.0,20.0,1.25,1.0,4.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,140.0,5.0
-1.0,1.0,20.0,7.0,2.0,8.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,1.0
-1.0,1.0,20.0,11.045,2.0,8.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,136.0,1.0
-1.0,1.0,20.08,0.25,2.0,11.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,200.0,1.0
-1.0,1.0,20.42,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,184.0,1.0
-1.0,1.0,20.42,1.085,2.0,11.0,4.0,1.5,0.0,0.0,0.0,0.0,2.0,108.0,8.0
-1.0,1.0,20.67,0.415,2.0,8.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,0.0,45.0
-1.0,1.0,20.67,0.835,1.0,8.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,240.0,1.0
-1.0,1.0,20.67,1.25,1.0,8.0,8.0,1.375,1.0,1.0,3.0,1.0,2.0,140.0,211.0
-1.0,1.0,20.67,5.29,2.0,11.0,4.0,0.375,1.0,1.0,1.0,0.0,2.0,160.0,1.0
-1.0,1.0,20.75,5.085,1.0,5.0,4.0,0.29,0.0,0.0,0.0,0.0,2.0,140.0,185.0
-1.0,1.0,21.08,4.125,1.0,3.0,8.0,0.04,0.0,0.0,0.0,0.0,2.0,140.0,101.0
-1.0,1.0,21.08,10.085,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.0,2.0,260.0,1.0
-1.0,1.0,21.17,0.0,2.0,8.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0
-1.0,1.0,21.17,0.25,1.0,8.0,8.0,0.25,0.0,0.0,0.0,0.0,2.0,280.0,205.0
-1.0,1.0,21.17,0.875,1.0,8.0,8.0,0.25,0.0,0.0,0.0,0.0,2.0,280.0,205.0
-1.0,1.0,21.42,0.75,1.0,12.0,7.0,0.75,0.0,0.0,0.0,1.0,2.0,132.0,3.0
-1.0,1.0,21.5,9.75,2.0,8.0,4.0,0.25,1.0,0.0,0.0,0.0,2.0,140.0,1.0
-1.0,1.0,21.5,11.5,2.0,3.0,4.0,0.5,1.0,0.0,0.0,1.0,2.0,100.0,69.0
-1.0,1.0,21.58,0.79,1.0,13.0,4.0,0.665,0.0,0.0,0.0,0.0,2.0,160.0,1.0
-1.0,1.0,21.67,1.165,1.0,4.0,4.0,2.5,1.0,1.0,1.0,0.0,2.0,180.0,21.0
-1.0,1.0,21.83,1.54,2.0,4.0,4.0,0.085,0.0,0.0,0.0,1.0,2.0,356.0,1.0
-1.0,1.0,21.92,0.5,2.0,8.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,360.0,1.0
-1.0,1.0,22.0,0.79,2.0,9.0,4.0,0.29,0.0,1.0,1.0,0.0,2.0,420.0,284.0
-1.0,1.0,22.0,7.835,1.0,3.0,5.0,0.165,0.0,0.0,0.0,1.0,2.0,184.0,1.0
-1.0,1.0,22.08,2.335,2.0,4.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,180.0,1.0
-1.0,1.0,22.08,11.46,2.0,4.0,4.0,1.585,0.0,0.0,0.0,1.0,2.0,100.0,1213.0
-1.0,1.0,22.17,0.585,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,1.0
-1.0,1.0,22.17,2.25,2.0,3.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,160.0,11.0
-1.0,1.0,22.17,12.125,2.0,8.0,4.0,3.335,0.0,1.0,2.0,1.0,2.0,180.0,174.0
-1.0,1.0,22.25,0.46,2.0,4.0,4.0,0.125,0.0,0.0,0.0,1.0,2.0,280.0,56.0
-1.0,1.0,22.25,9.0,2.0,6.0,4.0,0.085,0.0,0.0,0.0,0.0,2.0,0.0,1.0
-1.0,1.0,22.5,0.125,1.0,4.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,200.0,71.0
-1.0,1.0,22.5,11.5,1.0,7.0,4.0,1.5,0.0,0.0,0.0,1.0,2.0,0.0,4001.0
-1.0,1.0,22.58,1.5,1.0,6.0,4.0,0.54,0.0,0.0,0.0,1.0,2.0,120.0,68.0
-1.0,1.0,22.67,0.75,2.0,3.0,4.0,1.585,0.0,1.0,1.0,1.0,2.0,400.0,10.0
-1.0,1.0,22.75,11.5,2.0,3.0,4.0,0.415,0.0,0.0,0.0,0.0,2.0,0.0,1.0
-1.0,1.0,22.92,0.17,2.0,7.0,4.0,0.085,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-1.0,1.0,22.92,3.165,1.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,160.0,1059.0
-1.0,1.0,23.0,0.625,1.0,6.0,4.0,0.125,1.0,0.0,0.0,0.0,2.0,180.0,2.0
-1.0,1.0,23.0,0.75,2.0,7.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,320.0,1.0
-1.0,1.0,23.0,0.75,2.0,7.0,4.0,0.5,1.0,0.0,0.0,1.0,1.0,320.0,1.0
-1.0,1.0,23.08,0.0,2.0,4.0,4.0,1.0,0.0,1.0,11.0,0.0,1.0,0.0,1.0
-1.0,1.0,23.08,2.5,2.0,1.0,1.0,0.085,0.0,0.0,0.0,1.0,2.0,100.0,4209.0
-1.0,1.0,23.25,12.625,2.0,8.0,4.0,0.125,0.0,1.0,2.0,0.0,2.0,0.0,5553.0
-1.0,1.0,23.42,0.585,2.0,8.0,8.0,0.085,1.0,0.0,0.0,0.0,2.0,180.0,1.0
-1.0,1.0,23.42,1.0,2.0,8.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,280.0,1.0
-1.0,1.0,23.5,2.75,2.0,1.0,1.0,4.5,0.0,0.0,0.0,0.0,2.0,160.0,26.0
-1.0,1.0,23.5,3.165,1.0,4.0,4.0,0.415,0.0,1.0,1.0,1.0,2.0,280.0,81.0
-1.0,1.0,23.58,0.46,1.0,9.0,4.0,2.625,1.0,1.0,6.0,1.0,2.0,208.0,348.0
-1.0,1.0,23.58,0.835,2.0,3.0,8.0,0.085,0.0,0.0,0.0,1.0,2.0,220.0,6.0
-1.0,1.0,23.58,1.79,2.0,8.0,4.0,0.54,0.0,0.0,0.0,1.0,2.0,136.0,2.0
-1.0,1.0,23.75,0.415,1.0,8.0,4.0,0.04,0.0,1.0,2.0,0.0,2.0,128.0,7.0
-1.0,1.0,23.75,12.0,2.0,8.0,4.0,2.085,0.0,0.0,0.0,0.0,1.0,80.0,1.0
-1.0,1.0,23.92,0.585,1.0,13.0,8.0,0.125,0.0,0.0,0.0,0.0,2.0,240.0,2.0
-1.0,1.0,24.08,0.875,2.0,7.0,4.0,0.085,0.0,1.0,4.0,0.0,2.0,254.0,1951.0
-1.0,1.0,24.08,9.0,2.0,6.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,0.0,1.0
-1.0,1.0,24.42,2.0,2.0,10.0,2.0,0.165,0.0,1.0,2.0,0.0,2.0,320.0,1301.0
-1.0,1.0,24.5,13.335,1.0,6.0,4.0,0.04,0.0,0.0,0.0,1.0,2.0,120.0,476.0
-1.0,1.0,24.58,1.25,2.0,8.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,110.0,1.0
-1.0,1.0,24.58,12.5,2.0,9.0,4.0,0.875,1.0,0.0,0.0,1.0,2.0,260.0,1.0
-1.0,1.0,24.58,13.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,184.0,1.0
-1.0,1.0,24.75,0.54,2.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,120.0,2.0
-1.0,1.0,25.0,12.0,2.0,4.0,4.0,2.25,1.0,1.0,2.0,1.0,2.0,120.0,6.0
-1.0,1.0,25.17,3.0,2.0,8.0,4.0,1.25,0.0,1.0,1.0,0.0,2.0,0.0,23.0
-1.0,1.0,25.25,1.0,2.0,6.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,200.0,1.0
-1.0,1.0,25.42,0.54,2.0,9.0,4.0,0.165,0.0,1.0,1.0,0.0,2.0,272.0,445.0
-1.0,1.0,25.58,0.335,2.0,4.0,8.0,3.5,0.0,0.0,0.0,1.0,2.0,340.0,1.0
